264183816548130816	15140428	positive
263405084770172928	591166521	negative
262163168678248449	35266263	negative
264249301910310912	18516728	negative
262682041215234048	254373818	objective-OR-neutral
264229576773861376	518129399	neutral
264105751826538497	147088367	positive
264094586689953794	332474633	negative
212392538055778304	274996324	objective
254941790757601280	557103111	negative
264169034155696130	382403760	neutral
263192091700654080	344222239	objective-OR-neutral
263398998675693568	812957996	positive
263650552167157762	224845471	positive
260200142420992000	332530284	objective
264087629237202944	61903760	positive
250692636330049538	29023839	neutral
263304719471087617	564843841	objective
261954070938537985	228190529	positive
260940907082293248	321674291	neutral
263956867787673600	183985016	positive
263975113404342273	616166780	objective
257343699460173824	10115042	positive
264125591337463808	348691527	negative
262350309781823488	540496404	negative
264259830590603264	183011479	negative
257239661976625152	64642600	objective-OR-neutral
263868270006906880	834524701	objective-OR-neutral
264223934403211264	117204603	neutral
264041764460036096	198706982	positive
264102295392882689	43577828	positive
264173636141850626	827129677	positive
264071572925603841	43167117	positive
262115068320284672	306647135	positive
264239636799430656	864992245	objective-OR-neutral
264250109833924608	808985521	positive
257951107530252289	100101797	negative
263502599699955712	138301329	negative
264089847680077824	730902828	positive
247426222190125056	229673919	positive
224195395138490370	423023064	negative
236665189502681089	551910244	objective
262384414623936512	17091853	neutral
263936581734383617	108594490	negative
249228128302551040	160639448	objective-OR-neutral
243094456398663680	49991044	positive
256018140318822400	580515576	negative
